player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id
202468,Jessica,Pegula,R,19940224,USA,170,Q24159
206252,Barbora,Krejcikova,R,19951218,CZE,178,Q11052500
211148,Jasmine,Paolini,R,19960104,ITA,160,Q19973674
214082,Daria,Kasatkina,R,19970507,RUS,170,Q17144642
214544,Aryna,Sabalenka,R,19980505,BLR,182,Q23448791
214981,Elena,Rybakina,R,19990617,KAZ,184,Q42055714
215613,Emma,Navarro,R,20010518,USA,,Q62675797
216347,Iga,Swiatek,R,20010531,POL,176,Q26840238
221012,Qinwen,Zheng,R,20021008,CHN,,Q62096129
221103,Coco,Gauff,R,20040313,USA,175,Q39263365
