player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id
100644,Alexander,Zverev,R,19970420,GER,198,Q13990552
104925,Novak,Djokovic,R,19870522,SRB,188,Q5812
105777,Grigor,Dimitrov,R,19910516,BUL,191,Q337681
106421,Daniil,Medvedev,R,19960211,RUS,198,Q21622022
126094,Andrey,Rublev,R,19971020,RUS,188,Q17373391
126203,Taylor,Fritz,R,19971028,USA,196,Q17660516
134770,Casper,Ruud,R,19981222,NOR,183,Q18810082
200282,Alex,De Minaur,R,19990217,AUS,183,Q22958938
206173,Jannik,Sinner,R,20010816,ITA,191,Q54812588
207989,Carlos,Alcaraz,R,20030505,ESP,183,Q85518537
